CHEBI:76086 CHEBI:76222
CHEBI:365445 CHEBI:50221
CHEBI:73261 CHEBI:26410,CHEBI:50995
CHEBI:26407 CHEBI:38104,CHEBI:25693
CHEBI:29083 CHEBI:59814
CHEBI:61077 CHEBI:35779
CHEBI:73128 CHEBI:36762,CHEBI:35681,CHEBI:36141,CHEBI:33823
CHEBI:47029 CHEBI:38106,CHEBI:38101,CHEBI:27171
CHEBI:61943 CHEBI:57570
CHEBI:24505 CHEBI:37395,CHEBI:35722
CHEBI:22656 CHEBI:22487
CHEBI:58935 CHEBI:33703
CHEBI:50692 CHEBI:47788
CHEBI:60001 CHEBI:51978
CHEBI:6129 CHEBI:60911
CHEBI:67615 CHEBI:51689,CHEBI:35681,CHEBI:55380,CHEBI:50941,CHEBI:26979,CHEBI:37581,CHEBI:36683
CHEBI:47830 CHEBI:24662
CHEBI:57576 CHEBI:36059
CHEBI:48523 CHEBI:26513
CHEBI:57757 CHEBI:59871
CHEBI:66169 CHEBI:26912,CHEBI:61778,CHEBI:63353,CHEBI:26893
CHEBI:47175 CHEBI:48587,CHEBI:38338,CHEBI:36683
CHEBI:72813 CHEBI:33694
CHEBI:60195 CHEBI:60194
CHEBI:44326 CHEBI:46838,CHEBI:46836,CHEBI:39430,CHEBI:37948,CHEBI:25477,CHEBI:20954
CHEBI:52126 CHEBI:35363
CHEBI:67371 CHEBI:38739
CHEBI:42632 CHEBI:38418,CHEBI:26961,CHEBI:24436,CHEBI:22715
CHEBI:39166 CHEBI:50047
CHEBI:28941 CHEBI:39418,CHEBI:15904
CHEBI:60553 CHEBI:60552
CHEBI:74617 CHEBI:72409,CHEBI:64379
CHEBI:64884 CHEBI:62643
CHEBI:71463 CHEBI:60086
CHEBI:68246 CHEBI:33640,CHEBI:37407,CHEBI:25384,CHEBI:22160,CHEBI:3992
CHEBI:60967 CHEBI:48030
CHEBI:3441 CHEBI:48513,CHEBI:50995,CHEBI:35681
CHEBI:63374 CHEBI:63411,CHEBI:63368
CHEBI:63230 CHEBI:63353,CHEBI:25302
CHEBI:75794 CHEBI:63367,CHEBI:50018,CHEBI:27116,CHEBI:28034,CHEBI:28802
CHEBI:44479 CHEBI:38768,CHEBI:37947,CHEBI:35689
CHEBI:51037 CHEBI:36807
CHEBI:52774 CHEBI:51869
CHEBI:30629 CHEBI:38751,CHEBI:39474
CHEBI:53445 CHEBI:35318
CHEBI:46902 CHEBI:46900
CHEBI:16394 CHEBI:33856
CHEBI:15786 CHEBI:35267,CHEBI:17311
CHEBI:30652 CHEBI:33710
CHEBI:58578 CHEBI:59737
CHEBI:3207 CHEBI:24261,CHEBI:47788,CHEBI:36699,CHEBI:35346
CHEBI:15725 CHEBI:35411
CHEBI:76701 CHEBI:76674
CHEBI:51460 CHEBI:26658,CHEBI:49319
CHEBI:4460 CHEBI:46921,CHEBI:35500
CHEBI:50621 CHEBI:46761
CHEBI:74068 CHEBI:58342
CHEBI:36441 CHEBI:36440
CHEBI:36989 CHEBI:26987,CHEBI:22260
CHEBI:53186 CHEBI:53183,CHEBI:23849
CHEBI:16807 CHEBI:23750
CHEBI:47692 CHEBI:72573,CHEBI:47622,CHEBI:38338,CHEBI:36683
CHEBI:48549 CHEBI:25477
CHEBI:4653 CHEBI:48514,CHEBI:32876,CHEBI:26151
CHEBI:30812 CHEBI:33892
CHEBI:50070 CHEBI:37963,CHEBI:24965,CHEBI:22557
CHEBI:70450 CHEBI:50860
CHEBI:17759 CHEBI:35348,CHEBI:50401
CHEBI:42121 CHEBI:35742
CHEBI:66385 CHEBI:26195,CHEBI:24921,CHEBI:35618,CHEBI:36820,CHEBI:48851,CHEBI:24922,CHEBI:25392
CHEBI:28011 CHEBI:15489,CHEBI:20060
CHEBI:75901 CHEBI:26835,CHEBI:22632
CHEBI:9648 CHEBI:60911
CHEBI:67621 CHEBI:35681,CHEBI:37581,CHEBI:36683,CHEBI:50941,CHEBI:38163,CHEBI:51689
CHEBI:63770 CHEBI:26961,CHEBI:35358,CHEBI:38314
CHEBI:55552 CHEBI:27001,CHEBI:36994
CHEBI:25004 CHEBI:23843
CHEBI:53763 CHEBI:26961,CHEBI:37622,CHEBI:26151
CHEBI:28243 CHEBI:17135
CHEBI:67820 CHEBI:50860
CHEBI:32392 CHEBI:58950,CHEBI:59203,CHEBI:2580
CHEBI:76145 CHEBI:38830,CHEBI:26195,CHEBI:26776
CHEBI:64722 CHEBI:64769
CHEBI:520985 CHEBI:35358,CHEBI:24828,CHEBI:32876
CHEBI:49080 CHEBI:26369
CHEBI:46741 CHEBI:46919,CHEBI:24780
CHEBI:70150 CHEBI:50860
CHEBI:35432 CHEBI:37862,CHEBI:37919
CHEBI:52661 CHEBI:38835,CHEBI:35478,CHEBI:33554
CHEBI:5106 CHEBI:50830
CHEBI:30897 CHEBI:16087
CHEBI:47818 CHEBI:47042,CHEBI:47806
CHEBI:61579 CHEBI:59266,CHEBI:22484
CHEBI:67932 CHEBI:22798,CHEBI:27116,CHEBI:64621,CHEBI:47622
CHEBI:23128 CHEBI:24469,CHEBI:23115
CHEBI:65956 CHEBI:47622,CHEBI:38164,CHEBI:37581,CHEBI:36762,CHEBI:32955
CHEBI:15865 CHEBI:24962
CHEBI:37801 CHEBI:51521,CHEBI:35233
CHEBI:58692 CHEBI:28965
CHEBI:3978 CHEBI:35218,CHEBI:22798
CHEBI:27495 CHEBI:36859,CHEBI:36854,CHEBI:36861,CHEBI:36836,CHEBI:36883,CHEBI:36852,CHEBI:26118,CHEBI:36863
CHEBI:68220 CHEBI:26658,CHEBI:25389,CHEBI:25698
CHEBI:39992 CHEBI:38337,CHEBI:38338
CHEBI:76470 CHEBI:57319,CHEBI:65102
CHEBI:16526 CHEBI:23014,CHEBI:64708
CHEBI:59233 CHEBI:25438
CHEBI:17839 CHEBI:38796
CHEBI:66729 CHEBI:50860
CHEBI:69342 CHEBI:50860
CHEBI:26020 CHEBI:26079
CHEBI:69474 CHEBI:25481,CHEBI:33853
CHEBI:38453 CHEBI:35363
CHEBI:69896 CHEBI:50860
CHEBI:19332 CHEBI:22531
CHEBI:16683 CHEBI:27120
CHEBI:65461 CHEBI:33704,CHEBI:37390
CHEBI:35478 CHEBI:35479,CHEBI:33298
CHEBI:15732 CHEBI:25384
CHEBI:67360 CHEBI:23238,CHEBI:35618,CHEBI:33572
CHEBI:70321 CHEBI:36087,CHEBI:63567,CHEBI:63944,CHEBI:75756
CHEBI:46451 CHEBI:38338
CHEBI:20670 CHEBI:23966
CHEBI:36237 CHEBI:36278
CHEBI:28891 CHEBI:36680,CHEBI:38104,CHEBI:38180,CHEBI:23825,CHEBI:36416
CHEBI:9442 CHEBI:35618,CHEBI:3992,CHEBI:38164,CHEBI:72581
CHEBI:40179 CHEBI:37143,CHEBI:22260
CHEBI:28773 CHEBI:25981
CHEBI:59194 CHEBI:27369
CHEBI:45453 CHEBI:33704,CHEBI:22260
CHEBI:62022 CHEBI:62027,CHEBI:47891,CHEBI:25384,CHEBI:36885,CHEBI:47909
CHEBI:75023 CHEBI:74997
CHEBI:68433 CHEBI:24323
CHEBI:45658 CHEBI:23509,CHEBI:47915
CHEBI:74103 CHEBI:17002
CHEBI:68202 CHEBI:37667,CHEBI:38163,CHEBI:26878
CHEBI:59040 CHEBI:26895
CHEBI:37586 CHEBI:24838,CHEBI:26714
CHEBI:46406 CHEBI:37947
CHEBI:27389 CHEBI:33706
CHEBI:61290 CHEBI:28966
CHEBI:68110 CHEBI:33853,CHEBI:26979,CHEBI:22315
CHEBI:48693 CHEBI:48836,CHEBI:15734
CHEBI:72492 CHEBI:22475
CHEBI:72951 CHEBI:58945
CHEBI:37725 CHEBI:37722,CHEBI:28120
CHEBI:75554 CHEBI:63353,CHEBI:36087,CHEBI:27116,CHEBI:20857
CHEBI:63539 CHEBI:76189,CHEBI:33184,CHEBI:51006
CHEBI:62970 CHEBI:50126
CHEBI:22669 CHEBI:50523
CHEBI:6402 CHEBI:37143,CHEBI:55373,CHEBI:29347
CHEBI:64469 CHEBI:53507
CHEBI:61104 CHEBI:22295,CHEBI:63567
CHEBI:46788 CHEBI:46789
CHEBI:17045 CHEBI:35196
CHEBI:61036 CHEBI:35757
CHEBI:2368 CHEBI:33853,CHEBI:38739
CHEBI:36571 CHEBI:37739
CHEBI:35414 CHEBI:22160,CHEBI:50994
CHEBI:75139 CHEBI:64743
CHEBI:15891 CHEBI:37793
CHEBI:50700 CHEBI:22307
CHEBI:71947 CHEBI:60004
CHEBI:15437 CHEBI:27258
CHEBI:51550 CHEBI:51543,CHEBI:35202
CHEBI:41476 CHEBI:23493
CHEBI:62499 CHEBI:35819
CHEBI:24922 CHEBI:38166,CHEBI:38101
CHEBI:60212 CHEBI:27150
CHEBI:33372 CHEBI:33319,CHEBI:33562
CHEBI:60526 CHEBI:60029
CHEBI:76221 CHEBI:10615,CHEBI:27283
CHEBI:37459 CHEBI:37457
CHEBI:74721 CHEBI:50319
CHEBI:59590 CHEBI:35757
CHEBI:41308 CHEBI:22726
CHEBI:69231 CHEBI:50511,CHEBI:35618,CHEBI:22307,CHEBI:26416
CHEBI:25289 CHEBI:33566
CHEBI:51899 CHEBI:51548,CHEBI:37960,CHEBI:50356
CHEBI:53678 CHEBI:23129,CHEBI:33704
CHEBI:73282 CHEBI:25810
CHEBI:71588 CHEBI:27242
